CID,Molecule
107,C1=CC=C(C=C1)CCC(=O)O
126,C1=CC(=CC=C1C=O)O
240,C1=CC=C(C=C1)C=O
243,C1=CC=C(C=C1)C(=O)O
244,C1=CC=C(C=C1)CO
289,C1=CC=C(C(=C1)O)O
322,C1=CC(=CC=C1C=CC(=O)O)O
326,CC(C)C1=CC=C(C=C1)C=O
332,COC1=C(C=CC(=C1)C=C)O
338,C1=CC=C(C(=C1)C(=O)O)O
460,COC1=CC=CC=C1O
931,C1=CC=C2C=CC=CC2=C1
996,C1=CC=C(C=C1)O
998,C1=CC=C(C=C1)CC=O
999,C1=CC=C(C=C1)CC(=O)O
1049,C1=CC=NC=C1
1183,COC1=C(C=CC(=C1)C=O)O
3102,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2
3314,COC1=C(C=CC(=C1)CC=C)O
3516,COC1=CC=CC=C1OCC(CO)O
4133,COC(=O)C1=CC=CC=C1O
5054,C1=CC(=CC(=C1)O)O
6054,C1=CC=C(C=C1)CCO
6140,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
6997,CCC1=CC=CC=C1O
6998,C1=CC=C(C(=C1)C=O)O
7043,COC1=CC=CC=C1OC
7047,C1=CC=C2C(=C1)C=CC=N2
7127,COC1=C(C=C(C=C1)CC=C)OC
7150,COC(=O)C1=CC=CC=C1
7213,C1=CC(=C(C=C1O)O)C=O
7237,CC1=CC=CC=C1C
7406,CC(C)C1=CC=CC=C1
7409,CC(C1=CC=CC=C1)O
7410,CC(=O)C1=CC=CC=C1
7420,C1=CC(=CC(=C1)O)C(=O)O
7500,CCC1=CC=CC=C1
7501,C=CC1=CC=CC=C1
7559,COC(=O)CC1=CC=CC=C1
7643,COC(=O)CCC1=CC=CC=C1
7646,CC(C)C(=O)OCC1=CC=CC=C1
7654,CC(=O)OCCC1=CC=CC=C1
7678,CC(=O)CC1=CC=CC=C1
7707,C1=CC=C(C=C1)CCC=O
7708,C1=CC=C(C=C1)COC=O
7725,CC1=CC=C(C=C1)C=O
7929,CC1=CC(=CC=C1)C
8373,CC1=CC=CC=C1C(=O)O
8419,COC1=C(C=C(C=C1)C=O)OC
8438,C1OC2=C(O1)C=C(C=C2)C=O
8768,C1=CC(=C(C=C1C=O)O)O
8784,C1=CC=C(C=C1)C=CC(=O)O
8785,CC(=O)OCC1=CC=CC=C1
8794,C1=CC=C(C=C1)CC#N
8815,COC1=CC=C(C=C1)CC=C
9007,COC1=CC=CC(=C1)O
9223,C1=CC=C2C(=C1)C=CO2
10329,C1COC2=CC=CC=C21
10703,CC1=CC=CC=C1C(C)C
10812,CC1=CC(=CC=C1)C(C)C
10821,C#CC1=CC=CC=C1
11406,C=CCOC(=O)C1=CC=CC=C1
11460,CC(=O)C1=CC(=CC=C1)OC
11461,COC1=CC=CC(=C1)C(=O)O
12507,COC1=CC=C(C=C1)C=C
12570,CCCC1=CC=CC=C1O
13023,CC1CCC2=CC=CC=C12
13028,C=CC(=O)C1=CC=CC=C1
13637,C1=CC=C(C(=C1)C(=O)NN)O
13654,CC(C)OC(=O)C1=CC=CC=C1
13879,CCC(=O)CC1=CC=CC=C1
16237,CCOC(=O)CCC1=CC=CC=C1
16244,C1COCCN1C(=S)C2=CC=CC=C2
16846,CCCOC(=O)C1=CC=CC=C1
31225,CCC(=O)OCCC1=CC=CC=C1
31234,C1=CC=C(C=C1)CCCO
31244,COC1=CC=C(C=C1)C=O
33637,CC1=CC=CC=C1OC
61048,CC(C)COC(=O)C1=CC=CC=C1
61151,COC1=CC=CC=C1C(=O)OC
61200,CC1=CC(=C(C=C1)C=O)O
61400,COC1=C(C=C(C=C1)C=C)OC
62453,C=CC1=CC=C(C=C1)O
68490,C1=CC=C(C=C1)C(=O)CO
69154,COC1=CC=CC=C1CO
69184,CC1=CC(=C(C=C1)O)C=O
73777,C1=CC=C(C=C1)C=CC=CC(=O)O
75581,C=C1C=CC2=CC=CC=C12
84835,COC(=O)C(=O)C1=CC=CC=C1
92203,COC(=O)C=CC1=CC=C(C=C1)O
99611,C1=CC=C(C=C1)C(=O)C(O)O
103653,CCC(C)COC(=O)C1=CC=CC=C1
139904,CC=CC=CC=CC
444539,C1=CC=C(C=C1)/C=C/C(=O)O
445858,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
521364,CC(=C)CCOC(=O)C1=CC=CC=C1
576718,CC1=CC=CC(C=C1)(C)C
578868,CC1=CC=CC=C(O1)C
596375,COC1=C(C=C(C=C1)CC=C)O
596851,C1=CC=CC(C=C1)C2=CC=C(C=C2)C(=O)N=[N+]=[N-]
599024,CCC1=C(N=NC2=CC=CC=C21)C
637511,C1=CC=C(C=C1)/C=C/C=O
637520,COC(=O)/C=C/C1=CC=CC=C1
637540,C1=CC=C(C(=C1)/C=C/C(=O)O)O
637541,C1=CC(=CC(=C1)O)/C=C/C(=O)O
637542,C1=CC(=CC=C1/C=C/C(=O)O)O
637563,C/C=C/C1=CC=C(C=C1)OC
637668,COC1=CC=CC(=C1)/C=C/C(=O)O
637758,CCOC(=O)/C=C/C1=CC=CC=C1
637759,CC(=O)/C=C/C1=CC=CC=C1
641297,COC1=CC=C(C=C1)/C=C/C(=O)OC
